Name,Address,Type,Description,Image_URL
"Great Bagel","396 Woodland Ave, Lexington, KY 40508","Restaurant","This is my favorite bagel place in Lexington! It's the best and I get a bacon, egg, and cheese bagel.",https://www.greatbagellex.com/
"Rupp Arena","430 W Vine St, Lexington, KY 40507","Cultural","This is the basketball arena where UK plays. I have been going to the games forever and it is a really special place.",https://www.rupparena.com/
"Chevy Chase","Euclid Ave Area, Lexington, KY 40502","This is the area my friends and I live in. There are shops, restaurants, and cute neighborhoods in this area.",https://www.visitlex.com/
"Drake's Restaurant","3347 Tates Creek Rd, Lexington, KY 40502","Restaurant","This restaurant has everything and is a Lexington staple. My best friends family owns the restuarant, so it makes it very special.",https://www.drakescomeplay.com/
"Ashland Park","260 Walnut Hill Rd, Lexington, KY 40502","Park","This is a park in chevy chase. It is great to walk around and has beautiful trees and greenery.",https://www.lexingtonky.gov/parks/ashland-park
"Graeter's Ice Cream","1529 Winchester Rd, Lexington, KY 40505","Restaurant","A classic ice cream stop known for its famous Black Raspberry Chip flavor. This place is nostalgic and one of my favorites! ",https://www.graeters.com/
"County Club","555 Jefferson St, Lexington, KY 40508","Restaurant","This is a hole in the wall restaurant. The food is very good and the menu changes a lot, so you can always try something new.",https://countyclubrestaurant.com/
"Keeneland","4201 Versailles Rd, Lexington, KY 40510","Historical","Keenenald is one of the reasons people travel to Lexington. It is a place to horse bet, watch the races, and have fun with friends.",https://www.keeneland.com/
"Kroger Field","1540 University Dr, Lexington, KY 40506","Recreation","Home of University of Kentucky football and a major gathering place on game days. The stadium is very important to Kentucky fans. ",https://ukathletics.com/facilities/kroger-field/
"Old Kentucky Chocolates","450 Southland Dr, Lexington, KY 40503","Local Business","My favorite chocolate shop in Lexington! They have candy bars and chocolate covored grapes that are a must!",https://www.oldkycandy.com/
